sample,fwd-ref,rev-ref,fwd-rev,core-ref,reads
78,52,48,82,28,6
78,52,48,86,28,8
78,22,24,34,14,1
78,42,42,84,24,1
78,44,48,86,26,4
78,48,48,98,26,58
78,52,30,64,16,6
78,25,8,8,4,1
78,40,40,92,18,4
78,48,48,86,26,3
78,52,10,12,6,1
78,22,12,4,4,1
78,43,43,90,22,1
78,52,52,90,30,62
78,27,27,70,16,2
78,44,44,92,22,15
78,18,18,18,6,10
78,44,44,96,30,25
78,18,14,48,14,2
78,26,24,30,14,1
78,48,52,90,30,35
78,22,24,46,12,11
78,32,32,76,16,13
78,12,12,36,12,1
78,52,48,90,28,29
78,18,22,12,4,2
78,22,14,8,6,2
78,50,48,88,28,1
78,48,44,78,24,1
78,44,52,90,28,11
78,48,44,23,28,1
78,33,33,92,12,4
78,22,24,38,12,1
78,46,46,88,24,1
78,48,52,94,30,142
78,48,40,78,26,1
78,38,42,84,20,1
78,52,36,80,20,1
78,22,18,8,4,2
78,12,10,4,4,9
78,22,22,38,12,9
78,14,12,6,4,3
78,52,10,8,4,2
78,24,24,40,12,26
78,20,20,44,12,3
78,36,36,80,22,1
78,48,48,98,30,42
78,52,16,22,10,1
78,14,12,26,10,4
78,19,22,30,8,1
78,43,43,94,21,18
78,26,20,20,10,4
78,12,12,6,4,12
78,25,21,78,11,39
78,10,28,11,8,1
78,48,48,90,26,3
78,22,22,42,10,5
78,35,35,90,21,1
78,46,42,92,22,7
78,52,48,78,28,2
78,25,22,32,12,10
78,52,48,82,30,3
78,52,52,70,30,2
78,52,44,86,26,3
78,52,52,62,30,1
78,22,8,8,4,6
78,52,32,70,18,5
78,52,30,56,16,3
78,14,10,10,4,14
78,39,39,92,17,1
78,40,40,92,20,2
78,36,36,84,14,2
78,52,8,8,8,2
78,22,16,12,6,1
78,20,20,20,10,8
78,22,22,38,10,3
78,21,20,20,10,28
78,26,28,20,8,1
78,30,30,80,20,3
78,37,37,92,15,1
78,33,21,100,13,1
78,22,14,16,6,2
78,44,44,78,24,1
78,52,12,10,4,1
78,24,32,68,16,1
78,36,40,82,24,1
78,52,48,86,30,3
78,22,24,42,12,5
78,39,39,86,19,1
78,44,44,98,22,5
78,25,20,20,10,9
78,37,37,88,15,3
78,20,22,6,4,8
78,29,29,76,16,1
78,34,34,24,6,2
78,48,52,86,30,10
78,34,34,80,22,3
78,50,50,92,30,1
78,48,36,74,24,1
78,52,40,78,28,1
78,44,44,96,26,2
78,14,12,8,6,2
78,18,22,18,6,35
78,42,46,92,24,5
78,20,22,18,6,1
78,52,26,50,20,1
78,12,12,6,6,3
78,42,42,88,30,1
78,22,12,12,10,1
78,40,52,82,28,1
78,48,44,90,28,1
78,52,30,28,18,1
78,52,34,44,24,1
78,44,36,54,24,1
78,52,14,16,4,1
78,48,48,82,28,5
78,44,32,58,18,1
78,14,10,6,4,10
78,52,34,74,20,7
78,52,48,90,30,13
78,48,44,82,24,2
78,44,52,86,28,3
78,41,41,102,19,1
78,52,46,92,28,4
78,14,12,16,8,1
78,14,11,52,10,1
78,12,14,8,4,1
78,52,46,88,28,3
78,26,26,66,14,1
78,13,13,84,12,1
78,46,44,80,28,1
78,18,24,18,6,2
78,52,34,72,24,1
78,26,26,72,14,2
78,52,14,16,8,1
78,12,12,6,2,1
78,26,24,48,14,2
78,46,46,92,24,7
78,25,22,60,12,1
78,39,39,94,17,2
78,14,10,8,4,4
78,48,48,82,30,2
78,52,44,82,26,5
78,26,22,92,12,1
78,16,12,10,6,1
78,36,32,62,22,1
78,39,39,86,18,2
78,48,52,86,28,3
78,52,46,84,30,1
78,42,52,80,26,1
78,26,20,24,10,1
78,34,30,76,20,1
78,22,20,38,10,1
78,16,10,6,4,17
78,52,24,14,8,1
78,12,16,8,4,1
78,48,48,94,30,11
78,35,35,82,18,1
78,26,22,46,12,2
78,52,36,62,24,1
78,37,37,86,24,1
78,52,52,86,30,17
78,52,52,78,30,1
78,46,26,52,14,1
78,22,18,52,16,1
78,52,32,20,20,1
78,52,8,8,4,1
78,22,20,36,10,2
78,52,14,10,8,2
78,46,32,74,18,1
78,52,10,8,6,1
78,32,12,8,6,1
78,12,20,8,4,1
78,52,44,86,28,5
78,44,48,86,28,3
78,48,44,78,26,1
78,35,35,82,14,3
78,43,35,74,17,1
78,39,39,90,18,3
78,43,43,90,21,5
78,20,18,16,10,1
78,44,14,16,8,1
78,48,52,90,28,15
78,45,45,102,24,1
78,52,50,92,30,2
78,10,10,4,4,1
78,52,40,70,28,2
78,12,11,6,6,1
78,52,20,24,16,1
78,48,48,70,30,1
78,48,34,72,22,1
78,26,18,34,12,2
78,48,44,82,28,1
78,22,18,26,14,1
78,48,40,82,24,1
78,52,34,76,20,3
78,46,36,86,18,1
78,29,22,34,8,1
78,21,21,74,10,1
78,22,14,8,4,1
78,22,12,10,6,2
78,22,12,12,6,1
78,52,12,8,4,3
78,36,52,78,26,1
78,40,40,98,26,2
78,26,22,42,14,28
78,20,18,6,4,3
78,52,44,78,28,3
78,52,48,78,30,1
78,22,20,28,8,1
78,18,20,18,6,2
78,32,30,74,16,1
78,14,22,6,4,1
78,44,48,78,28,2
78,10,40,8,4,1
78,16,10,4,2,2
78,14,12,12,4,1
78,12,12,14,8,1
78,26,24,34,14,1
78,10,28,6,4,1
78,18,22,14,6,4
78,18,20,6,4,3
78,48,50,88,30,2
78,18,10,8,4,1
78,44,40,70,20,1
78,48,40,66,24,1
78,44,52,90,26,2
78,48,44,86,26,2
78,44,52,86,30,2
78,48,12,10,4,1
78,12,12,4,4,1
78,52,44,74,28,1
78,22,12,10,10,1
78,52,48,74,28,2
78,44,40,74,22,1
78,28,28,76,12,1
78,12,16,10,4,1
78,45,43,92,23,1
78,33,33,78,16,3
78,46,46,92,30,3
78,31,31,74,16,1
78,38,38,92,16,2
78,44,48,94,26,4
78,20,50,54,18,1
78,42,38,76,28,1
78,42,36,68,24,1
78,12,14,4,4,2
78,48,46,66,30,1
78,22,16,8,4,1
78,36,48,62,28,1
78,22,16,24,8,1
78,33,33,82,16,1
78,22,14,14,6,6
78,28,28,104,10,1
78,22,18,28,8,3
78,32,52,74,24,1
78,18,22,6,4,1
78,44,48,82,28,1
78,22,16,16,6,3
78,40,48,74,24,1
78,46,48,80,26,1
78,50,50,96,30,6
78,45,45,102,23,3
78,52,34,68,26,1
78,52,12,10,12,1
78,52,24,44,18,1
78,40,48,70,26,1
78,52,40,66,24,1
78,14,28,10,4,1
78,22,18,38,10,4
78,52,34,70,20,1
78,22,8,8,6,1
78,44,52,90,30,4
78,36,36,84,18,2
78,52,20,14,10,1
78,42,42,88,22,3
78,52,12,12,6,2
78,40,40,102,18,2
78,48,48,98,28,13
78,32,32,68,20,3
78,39,39,86,17,1
78,33,33,82,14,2
78,42,42,96,24,1
78,30,30,72,18,1
78,52,28,40,22,1
78,52,28,74,24,1
78,50,52,88,30,1
78,44,40,62,20,1
78,44,40,46,28,1
78,48,52,82,28,2
78,22,22,42,14,3
78,52,36,82,20,7
78,52,14,18,8,1
78,35,35,86,16,1
78,24,24,94,10,1
78,29,29,78,16,1
78,18,12,54,10,1
78,52,38,84,28,1
78,48,48,74,28,1
78,42,46,84,28,1
78,34,34,80,14,1
78,16,22,16,10,3
78,22,16,54,12,1
78,22,10,8,4,1
78,26,26,96,12,2
78,43,41,104,22,1
78,48,16,16,6,1
78,35,35,78,16,1
78,41,41,90,19,5
78,36,36,84,22,1
78,16,16,6,4,2
78,20,24,32,10,1
78,22,16,10,8,1
78,32,36,80,16,1
78,48,28,44,14,1
78,22,12,22,6,1
78,40,48,62,24,1
78,22,12,6,6,2
78,48,48,86,28,6
78,46,46,84,24,1
78,20,22,36,10,3
78,26,18,38,12,5
78,52,38,62,28,1
78,12,8,4,2,1
78,52,30,66,16,3
78,22,22,116,10,1
78,12,16,8,6,1
78,38,38,88,18,2
78,52,36,70,26,1
78,22,12,6,4,1
78,52,21,31,20,1
78,46,46,100,28,1
78,52,18,24,16,1
78,26,26,76,14,1
78,28,29,48,18,1
78,36,40,80,18,1
78,52,38,84,22,3
78,52,16,10,4,1
78,46,20,36,18,1
78,16,12,4,4,1
78,44,36,42,26,1
78,48,26,52,12,1
78,18,10,10,4,1
78,46,36,90,20,1
78,33,37,88,15,1
78,28,28,76,16,1
78,52,44,62,26,1
78,52,44,78,26,1
78,14,12,50,12,3
78,52,10,10,6,1
78,42,52,88,30,1
78,40,40,88,18,3
78,52,26,68,22,1
78,22,18,26,8,1
78,22,8,6,4,1
78,40,44,70,26,1
78,22,20,32,10,1
78,40,40,90,24,2
78,22,20,42,10,1
78,20,22,26,12,1
78,46,50,92,30,1
78,29,27,64,14,1
78,52,12,12,8,1
78,52,32,58,22,1
78,52,32,46,26,1
78,21,17,78,10,1
78,48,48,78,28,1
78,16,14,6,4,2
78,52,40,70,30,1
78,39,39,90,20,1
78,18,16,8,4,1
78,48,44,82,26,1
78,48,36,78,20,1
78,22,18,18,8,2
78,52,26,52,12,2
78,44,44,92,30,1
78,18,22,18,8,1
78,52,12,6,4,1
78,52,14,20,8,1
78,42,42,96,20,2
78,36,36,80,18,1
78,42,42,92,20,6
78,25,25,86,13,1
78,14,14,14,8,2
78,52,42,80,24,1
78,20,20,40,10,2
78,52,18,26,14,1
78,52,44,78,30,1
78,37,37,86,18,1
78,37,37,94,21,1
78,20,10,8,4,1
78,22,14,8,8,1
78,48,40,82,26,2
78,27,27,74,12,1
78,22,12,10,4,1
78,16,22,32,10,1
78,36,36,80,16,1
78,52,36,66,26,1
78,24,16,18,8,1
78,25,17,74,10,1
78,22,13,24,10,1
78,22,16,10,4,1
78,52,36,74,24,1
78,52,18,26,16,1
78,22,24,30,10,1
78,46,46,100,26,2
78,48,28,50,14,1
78,16,30,6,6,1
78,16,10,8,4,1
78,12,8,4,4,1
78,42,46,96,24,1
78,44,48,82,30,1
78,22,22,10,6,1
78,22,32,14,6,1
78,50,48,76,28,1
78,12,16,4,2,1
78,22,22,30,10,1
78,16,12,10,8,1
78,52,14,12,10,1
78,52,12,18,12,1
78,52,15,17,8,1
78,20,18,18,8,1
78,36,52,74,26,1
78,22,16,14,6,1
78,14,14,14,6,2
78,52,12,10,6,2
78,40,40,88,20,1
78,12,12,50,12,1
78,39,39,90,17,1
78,46,46,100,30,1
78,22,22,38,14,2
78,52,22,16,10,1
78,12,12,10,4,1
78,22,22,28,12,1
78,52,32,72,18,2
78,39,39,96,17,1
78,48,26,38,20,1
78,46,42,96,22,1
78,48,26,24,24,1
78,52,14,14,6,1
78,44,44,98,26,1
78,18,22,16,6,2
78,20,18,16,8,1
78,13,10,8,4,1
78,52,14,10,4,1
78,31,31,88,10,1
78,52,24,26,20,1
78,52,44,70,26,2
78,30,30,72,20,1
78,46,42,92,24,1
78,16,22,16,8,1
78,45,45,98,23,1
78,44,46,76,26,1
78,44,32,50,24,1
78,44,44,66,22,1
78,30,30,76,14,1
78,20,10,6,4,1
78,52,28,50,24,1
78,18,52,18,6,1
78,44,52,82,30,2
78,40,44,50,26,1
78,48,42,76,26,1
78,52,20,20,8,1
78,35,35,82,16,1
78,31,31,78,16,1
78,48,48,94,26,2
78,44,44,78,30,1
78,52,16,16,10,1
78,22,22,40,10,1
78,26,23,94,13,1
78,14,14,58,10,1
78,44,52,74,30,1
78,48,48,78,30,1
78,10,52,14,4,1
78,22,18,34,10,1
78,48,48,78,26,2
78,42,46,92,22,1
78,22,28,26,12,1
78,52,42,72,20,1
78,52,32,66,22,1
78,33,24,34,14,1
78,25,21,74,10,1
78,22,18,20,8,1
78,26,22,60,12,1
78,48,40,58,24,1
78,44,52,82,28,1
78,48,52,74,30,1
78,40,52,78,28,1
78,52,44,74,26,1
78,48,36,82,20,1
78,48,40,46,26,1
78,20,20,8,4,1
